population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,1,Male,238,12-23 months,403,Acute hepatitis C,1,Number,2023,3796.192104329413,4490.3341877642615,2997.394230610412
1,All Population,5,Prevalence,1,Global,2,Female,238,12-23 months,403,Acute hepatitis C,1,Number,2023,3986.253787574312,4642.332979243814,3242.4510510047194
1,All Population,5,Prevalence,1,Global,1,Male,388,1-5 months,403,Acute hepatitis C,1,Number,2023,1441.003283706615,1749.7011939100091,1067.9130269993643
1,All Population,5,Prevalence,1,Global,2,Female,388,1-5 months,403,Acute hepatitis C,1,Number,2023,1529.4935394971485,1809.9379233315967,1166.2449374420753
1,All Population,5,Prevalence,1,Global,1,Male,389,6-11 months,403,Acute hepatitis C,1,Number,2023,1794.9451653606598,2138.5637349689173,1364.473235597974
1,All Population,5,Prevalence,1,Global,2,Female,389,6-11 months,403,Acute hepatitis C,1,Number,2023,1892.0725196875617,2220.0139174700494,1511.58348864966
1,All Population,5,Prevalence,1,Global,1,Male,2,0-6 days,404,Acute hepatitis E,1,Number,2023,782.5696539496278,1223.6694202664485,462.17069339725066
1,All Population,5,Prevalence,1,Global,2,Female,2,0-6 days,404,Acute hepatitis E,1,Number,2023,635.4361423423264,1003.8379252476992,379.7837446851033
1,All Population,5,Prevalence,1,Global,1,Male,3,7-27 days,404,Acute hepatitis E,1,Number,2023,2334.4607856323087,3603.01510233872,1412.6640306464403
1,All Population,5,Prevalence,1,Global,2,Female,3,7-27 days,404,Acute hepatitis E,1,Number,2023,1900.509724868182,2975.677770098924,1160.3004588267358
1,All Population,5,Prevalence,1,Global,1,Male,6,5-9 years,404,Acute hepatitis E,1,Number,2023,257863.91434335432,329352.42451358936,174308.87456085044
1,All Population,5,Prevalence,1,Global,2,Female,6,5-9 years,404,Acute hepatitis E,1,Number,2023,223317.0653294691,289990.17174408573,146952.7070004301
1,All Population,5,Prevalence,1,Global,1,Male,7,10-14 years,404,Acute hepatitis E,1,Number,2023,205463.86733802108,289697.1797801706,128144.76930407426
1,All Population,5,Prevalence,1,Global,2,Female,7,10-14 years,404,Acute hepatitis E,1,Number,2023,177389.6870795015,252152.32848673337,110321.40347766472
1,All Population,5,Prevalence,1,Global,1,Male,8,15-19 years,404,Acute hepatitis E,1,Number,2023,169147.50630789297,224318.7507086284,110337.48185476597
1,All Population,5,Prevalence,1,Global,2,Female,8,15-19 years,404,Acute hepatitis E,1,Number,2023,147092.13106886114,196901.8681860404,96537.72706094364
1,All Population,5,Prevalence,1,Global,1,Male,9,20-24 years,404,Acute hepatitis E,1,Number,2023,142899.20359864875,198200.84804241083,86953.78920835644
